species,spp10,spp2,dir_species,image,subset
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,0125475a-a21f-44eb-8bdc-0c138a0335c9.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,01f87d19-e518-43d0-afbc-b5f8bb048e66.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,0e3e960a-9359-4c6d-8021-f9b6d526483d.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,0f553702-229a-4d1c-bd8d-aaca4f66f753.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,138cbb4d-9f8b-4e16-941f-402d9fe28f67.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,15e366f7-4325-4a87-ba7b-fff0c2a89e18.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,211b8726-bf02-4235-9e1b-c4e3c1daa8ab.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,2407cd6e-5837-4ef0-8280-cb8a58e7720f.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,2def3efa-5ef5-4281-8279-7aec07c32517.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,4c8fd8a7-a81f-4f55-b2e7-1f4880e7e375.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,4db255ca-6ca7-46fe-b02a-b852b20edd3c.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,53f3158f-dd1a-465b-8537-bd7d8c1ee8b6.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,5521bc3d-3e2a-4be1-83d1-a396d7cde97f.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,569575d7-8ac8-465c-80a1-860a5b8b0423.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,5ab6ddde-e2e8-453d-9e13-b1dcae1f6072.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,5c6ccaad-bbec-4a38-92fd-97a2efe1b198.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,5d1de54e-f395-4a53-b2f7-98e71bd7ab48.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,63993d08-2be9-40c3-b6dd-ac193fffd48e.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,6aa02d23-c7d8-483b-9636-48b01c3dc11e.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,6b93ccf1-d830-4a57-beef-a332eb131ba7.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,78fa5ef7-d69a-4451-9eb3-ea8db1313b4d.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,7a7a00e2-18f2-4ac9-ab4c-a1520ddceeb1.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,7e019a34-6595-4213-8bc6-5b4ba9f6dbeb.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,827d639b-2af0-4b4d-8d81-3b7912602a12.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,83fd68ea-0057-496e-8a9a-c4d0f01bc0d1.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,95540990-602f-4aa3-8dcf-716e246f8c89.jpg,train
05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana,96d27b37-7fea-4dc5-a90c-3096a8e152c2.jpg,train
